-6.904115,-3.926262,6.212088,1
-4.276458,-3.926262,0.818071,1
1.082735,4.102644,3.428763,1
-1.106979,4.102644,7.923777,1
-2.080841,3.299753,8.561711,1
-3.688599,0.8910814,7.778503,1
-3.786575,0.08819083,6.618431,1
-4.760437,-0.7146997,7.256365,1
-5.152344,-3.926262,2.616077,1
-6.028229,-3.926262,4.414083,1
-3.008666,-0.7146997,3.660354,1
-3.884552,-0.7146997,5.458359,1
0.1088728,3.299753,4.066697,1
-1.498885,0.8910814,3.283489,1
-1.642898,3.299753,7.662708,1
-3.250656,0.8910814,6.8795,1
-7.625916,-3.330136,5.860468,1
-4.998259,-3.330136,0.4664509,1
0.360934,4.69877,3.077143,1
-1.82878,4.69877,7.572157,1
-2.802642,3.89588,8.210091,1
-4.4104,1.487208,7.426883,1
-4.508376,0.6843171,6.266811,1
-5.482239,-0.1185734,6.904745,1
-6.75003,-3.330136,4.062462,1
-5.874145,-3.330136,2.264457,1
-4.606353,-0.1185734,5.106739,1
-3.730468,-0.1185734,3.308733,1
-2.364699,3.89588,7.311088,1
-0.6129283,3.89588,3.715076,1
-3.972457,1.487208,6.52788,1
-2.220686,1.487208,2.931869,1
